"Artemízia";"0122,0606"
"Artemon";"1020"
"Artúr";"0107,0122,0901,1020,1115,1211"
"Árvácska";"0505,0727"
"Arvéd";"0313,0323"
"Árven";"0823"
"Arvid";"0313,0323"
"Arzén";"0719,1030"
"Arzénia";"0719"
"Aser";"1216"
"Asma";"0417"
"Aszlár"
"Aszparucs"
"Aszpázia";"0102,1229"
"Asszunta";"0407,0815"
"Aszter";"0117,0428,0823,1030"
"Asztéria";"0810"
"Asztrid";"1112"
"Asztrik";"1112"
"Ata";"1111"
"Atád";"1111"
"Atakám"
"Atala";"0415,1203"
"Atalanta";"0310,0706"
"Atália";"1203"
"Atanáz";"0502,0814,1126"
"Atanázia";"0814"
"Atas"
"Aténa";"0118,0502,0716,1102"
"Aténé";"0118,0502,0716,1102"
"Athena";"0118,0502,0716,1102"
"Atika";"1203"
"Atilla";"0107"
"Atina";"0118,0502,0716,1102"
"Atlasz";"0406"
"Atos";"0310,0522,1111"
"Attila";"0107,0422,1005"
"Auguszt"
"Auguszta";"0327,0329,1218"
"Augusztina";"0327,0329"
"08z";"0803,0808"
"Aura";"0719,1202"
"Aurea";"0719"
"Aurél";"0115,0715,0720,0727,1005,1202"
"Aurélia";"0719,1004,1015,1016,1202"
"Aurélián";"0616,1020"
"Auróra";"1004,1015,1016"
"Avarka";"1105"
"Avenár";"0730"
"Axel";"0302,0902"
"Azálea";"1224"
"Azár";"0320,1216"
"Azucséna";"0407,0730"
"Azurea";"0619"
"Baba"
"Babett";"0704"
"Babetta";"0704"
"Babiána";"1204"
"Babita";"1204"
"Babócsa"
"Bábolna"
"Babót"
"Bács";"0110,0610,1112,1205"
"Bacsa"
"Bacskó"
"Bacsó";"0110,0610,1112,1205"
"Bagamér";"0208,1108"
"Bagita";"0525"
"Bágyon"
"Baja"
"Baján";"0424,1220"
"Bajcsa";"0424,1220"
"Bajka";"0424,1220"
"Bajnok";"0304,0624"
"Bájos"
"Bajzát"
"Bakács";"1007"
"Bakóca"
"Baksa";"0329,1007"
"Bakta";"0329,1007"
"Balabán";"0323,0520"
"Balajtár"
"Balambér";"0126,0223,0227"
"Balán"
"Balár";"0124"
"Baláskő"
"Balassa"
"Balaton"
"Balázs";"0203"
"Balbina";"0331"
"Balda";"0227"
"Baldemár"
"Baldó";"0227"
"Baldvin";"0412,0715,0821,1026"
"Bálint";"0107,0214,0316,1103"
"Balló";"0611"
"Balmaz";"0203"
"Balog"
"Baltazár";"0106,0111,0620"
"Balzsam";"0406"
"Bán";"0212,0605,0828"
"Bandó";"0707,1130"
"Bandur"
"Bánk";"0319,0321,0416,0501,0717"
"Bános";"0124,0416"
"Barabás";"0611"
"Baracs";"0329"
"Barakon";"0813,0822"
"Barakony";"0813,0822"
"Barancs";"0329"
"Barangó";"0611"
"Baranka";"0121"
"Baranya"
"Barbara";"1204"
"Barbarella";"1204"
"Bardó";"0610"
"Barla"
"Barlám";"1119"
"Barna";"0611"
"Barnabás";"0611"
"Barnett"
"Barót";"0715,0716"
"Bars";"0130,0728"
"Bársonyka";"0525,0627"
"Barsz";"0130,0728"
"Barta";"0824"
"Bartal";"0824"
"Bartó";"0824"
"Bartolómeó"
"Barton";"0824"
"Bartos";"0824"
"Bartyán"
"Báruk";"0824"
"Báta"
"Batbaján"
"Bató";"0617,0731,1102"
"Bátony";"0126"
"Bátor";"0227"
"Batu";"0617,0731,1102"
"Batur"
"Batus";"0617,0731,1102"
"Baucisz";"1204"
"Bazil";"0101,0102"
"Bazsó";"0102,1001"
"Bea";"0729,0906,0623"
"Beáta";"0308,0322,0509,0624,0629,0906,1216"
"Beatrice"
"Beatrix";"0118,0729,0829,1014"
"Beatus"
"Bebóra";"0424,0915"
"Becegő"
"Becse";"0424,0930"
"Béda";"0605"
"Bede"
"Bedecs";"0525,1016"
"Bedeg"
"Bedő";"0525,1016"
"Bejke"
"Begónia";"0907,1217"
"Béke";"0605"
"Bekény";"0514,0710,1007"
"Bekes";"0514,0710,1007"
"Békés";"0514,0710,1007"
"Bekő";"0321,1229"
"Béla";"0413,0423"
"Belár"
"Belend"
"Beléndek"
"Belián";"0513"
"Belinda";"0813"
"Belizár";"1217"
"Bella";"0831,0901"
"Ben";"0103"
"Benáta";"0104"
"Bence";"0321,0711,0823"
"Bende";"0321,0414,0416,0501,0711"
"Bendegúz";"0507,1010,0311"
"Bene";"0321,0414,0416,0501,0711"
"Benedek";"0321,0414,0416,0501,0711"
"Benedetta";"0104,0813,1008"
"Benedikta";"0104,0813,1008"
"Benediktusz";"0321,0414,0416,0501,0711"
"Beneditta";"0104,0813,1008"
"Benett";"0321"
"Béni";"0331"
"Benigna";"0620,1101"
"Benignusz";"0213,0501,1101"
"Benita";"0104,0813,1008"
"Benjámin";"0103,0331"
"Benjamina";"0331"
"Benke";"1101"
"Benkő";"0116"
"Benni"
"Bennó";"0616,0727,0803"
"Benő";"0331"
"Benvenútó";"0715"
"Bercel";"0329,0603"
"Bere";"0814"
"Berec";"0603"
"Berend";"1203"
"Berengár";"0526,0607,1002,1126"
"Bereniké";"0204,0709"
"Berény";"1006,1015,1019"
"Berg"
"Berger"
"Berics"
"Berill";"0726,1104"
"Beriszló";"1214"
"Berke"
"Berkeny"
"Bernadett";"0218,0416"
"Bernadetta";"0218,0416"
"Bernárd";"0520,0615,0703,0724,0819,0820,0928"
"Bernarda";"0416,0519,0520"
"Bernardina";"0416,0519,0520"
"Bernát";"0520,0615,0703,0724,0819,0820,0928"
"Bernisz"
"Bert"
"Berta";"0501,0704,0806"
"Bertalan";"0824"
"Bertilla";"1105"
"Bertina";"0905"
"Bertold";"0102,0211,0329,0727,1103,1214"
"Bertolda";"0329,1105"
"Berton"
"Bertram";"0123,0124"
"Berzenc"
"Berzence"
"Berzsián";"0824"
"Bese";"0630,1027"
"Beszded"
"Beszteréd"
"Besztur"
"Béta";"1119"
"Betánia"
"Beten";"0727"
"Betsabé";"1119"
"Betta";"0704"
"Betti";"0704"
"Bettina";"0704,0806,1008"
"Betty"
"Bianka";"0810,1201"
"Bibiána";"1202"
"Bíbor";"0406"
"Bíbora";"0406"
"Bíboranna";"0406"
"Bíborka";"0406"
"Bicske"
"Bihar"
"Bikács"
